org,repo,hyperlink,30d_merge_rate
walmartlabs,concord,https://github.com/walmartlabs/concord,0
walmartlabs,vespa-helm,https://github.com/walmartlabs/vespa-helm,0
walmartlabs,cookie-cutter,https://github.com/walmartlabs/cookie-cutter,0
walmartlabs,concord,https://github.com/walmartlabs/concord,0
walmartlabs,vespa-helm,https://github.com/walmartlabs/vespa-helm,0
walmartlabs,cookie-cutter,https://github.com/walmartlabs/cookie-cutter,0
aws,eks-anywhere,https://github.com/aws/eks-anywhere,0
aws,amazon-cloudwatch-agent,https://github.com/aws/amazon-cloudwatch-agent,0
aws,aws-sdk-net,https://github.com/aws/aws-sdk-net,2
aws,eks-distro,https://github.com/aws/eks-distro,0
aws,aws-lambda-nodejs-runtime-interface-client,https://github.com/aws/aws-lambda-nodejs-runtime-interface-client,3
aws,aws-cdk-rfcs,https://github.com/aws/aws-cdk-rfcs,0
aws,aws-cdk,https://github.com/aws/aws-cdk,17
aws,aws-sdk-cpp,https://github.com/aws/aws-sdk-cpp,0
aws,aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby,0
aws,aws-sdk-java-v2,https://github.com/aws/aws-sdk-java-v2,0
aws,graph-explorer,https://github.com/aws/graph-explorer,0
aws,amazon-vpc-cni-k8s,https://github.com/aws/amazon-vpc-cni-k8s,0
aws,aws-cryptographic-material-providers-library,https://github.com/aws/aws-cryptographic-material-providers-library,0
aws,aws-dynamodb-encryption-java,https://github.com/aws/aws-dynamodb-encryption-java,0
aws,code-editor,https://github.com/aws/code-editor,0
aws,karpenter-provider-aws,https://github.com/aws/karpenter-provider-aws,0
aws,api-models-aws,https://github.com/aws/api-models-aws,0
aws,aws-sam-cli,https://github.com/aws/aws-sam-cli,0
aws,aws-advanced-go-wrapper,https://github.com/aws/aws-advanced-go-wrapper,0
aws,aws-lc,https://github.com/aws/aws-lc,0
aws,eks-hybrid,https://github.com/aws/eks-hybrid,47
aws,event-ruler,https://github.com/aws/event-ruler,1
aws,jsii-compiler,https://github.com/aws/jsii-compiler,0
aws,amazon-q-developer-cli-autocomplete,https://github.com/aws/amazon-q-developer-cli-autocomplete,0
aws,aws-advanced-python-wrapper,https://github.com/aws/aws-advanced-python-wrapper,0
aws,deep-learning-containers,https://github.com/aws/deep-learning-containers,0
aws,sagemaker-distribution,https://github.com/aws/sagemaker-distribution,9
aws,serverless-java-container,https://github.com/aws/serverless-java-container,0
aws,bedrock-agentcore-sdk-python,https://github.com/aws/bedrock-agentcore-sdk-python,0
aws,amazon-q-developer-cli,https://github.com/aws/amazon-q-developer-cli,0
aws,jsii-superchain,https://github.com/aws/jsii-superchain,0
aws,amazon-mwaa-docker-images,https://github.com/aws/amazon-mwaa-docker-images,0
aws,aws-toolkit-common,https://github.com/aws/aws-toolkit-common,0
aws,aws-signer-notation-plugin,https://github.com/aws/aws-signer-notation-plugin,0
aws,aws-sam-build-images,https://github.com/aws/aws-sam-build-images,0
aws,amazon-ecs-agent,https://github.com/aws/amazon-ecs-agent,0
aws,aws-cdk-cli,https://github.com/aws/aws-cdk-cli,0
aws,amazon-ecs-ami,https://github.com/aws/amazon-ecs-ami,0
aws,jsii-rosetta,https://github.com/aws/jsii-rosetta,0
aws,s2n-tls,https://github.com/aws/s2n-tls,0
aws,aws-k8s-tester,https://github.com/aws/aws-k8s-tester,0
aws,aws-secretsmanager-agent,https://github.com/aws/aws-secretsmanager-agent,0
aws,secrets-store-csi-driver-provider-aws,https://github.com/aws/secrets-store-csi-driver-provider-aws,0
aws,aws-cli,https://github.com/aws/aws-cli,0
aws,amazon-vpc-resource-controller-k8s,https://github.com/aws/amazon-vpc-resource-controller-k8s,0
