org,repo,hyperlink,30d_merge_rate
samsungds,unvme-cli,https://github.com/SamsungDS/unvme-cli,0
samsungds,libvfn,https://github.com/SamsungDS/libvfn,0
samsungds,vmctl,https://github.com/SamsungDS/vmctl,0
samsungds,exynos-eco,https://github.com/SamsungDS/exynos-eco,0
jpmorganchase,salt-ds,https://github.com/jpmorganchase/salt-ds,0
jpmorganchase,fusion,https://github.com/jpmorganchase/fusion,0
jpmorganchase,nbcelltests,https://github.com/jpmorganchase/nbcelltests,2
jpmorganchase,jupyter-fs,https://github.com/jpmorganchase/jupyter-fs,6
jpmorganchase,mosaic,https://github.com/jpmorganchase/mosaic,0
jpmorganchase,QOKit,https://github.com/jpmorganchase/QOKit,4
jpmorganchase,fusion-3.7,https://github.com/jpmorganchase/fusion-3.7,7
jpmorganchase,anu,https://github.com/jpmorganchase/anu,2
jpmorganchase,fusion-java-sdk,https://github.com/jpmorganchase/fusion-java-sdk,0
samsungds,unvme-cli,https://github.com/SamsungDS/unvme-cli,0
samsungds,libvfn,https://github.com/SamsungDS/libvfn,0
samsungds,vmctl,https://github.com/SamsungDS/vmctl,0
samsungds,exynos-eco,https://github.com/SamsungDS/exynos-eco,0
jpmorganchase,salt-ds,https://github.com/jpmorganchase/salt-ds,0
jpmorganchase,fusion,https://github.com/jpmorganchase/fusion,0
jpmorganchase,nbcelltests,https://github.com/jpmorganchase/nbcelltests,2
jpmorganchase,jupyter-fs,https://github.com/jpmorganchase/jupyter-fs,6
jpmorganchase,mosaic,https://github.com/jpmorganchase/mosaic,0
jpmorganchase,QOKit,https://github.com/jpmorganchase/QOKit,4
jpmorganchase,fusion-3.7,https://github.com/jpmorganchase/fusion-3.7,7
jpmorganchase,anu,https://github.com/jpmorganchase/anu,2
jpmorganchase,fusion-java-sdk,https://github.com/jpmorganchase/fusion-java-sdk,0
ford,hoppscotch,https://github.com/Ford/hoppscotch,0
verizon,verizon-geofeed,https://github.com/Verizon/verizon-geofeed,6
att-comdev,charts,https://github.com/att-comdev/charts,0
att-comdev,cicd,https://github.com/att-comdev/cicd,0
teslamotors,zephyr,https://github.com/teslamotors/zephyr,0
teslamotors,LVCS,https://github.com/teslamotors/LVCS,0
teslamotors,vehicle-command,https://github.com/teslamotors/vehicle-command,0
teslamotors,fixed-containers,https://github.com/teslamotors/fixed-containers,0
teslamotors,fleet-telemetry,https://github.com/teslamotors/fleet-telemetry,0
teslamotors,ansible_puller,https://github.com/teslamotors/ansible_puller,0
tencent-hunyuan,Hunyuan-GameCraft-1.0,https://github.com/Tencent-Hunyuan/Hunyuan-GameCraft-1.0,2
tencent-hunyuan,Hunyuan3D-2,https://github.com/Tencent-Hunyuan/Hunyuan3D-2,1
tencent-hunyuan,HunyuanWorld-1.0,https://github.com/Tencent-Hunyuan/HunyuanWorld-1.0,2
tencent-hunyuan,MixGRPO,https://github.com/Tencent-Hunyuan/MixGRPO,1
tencent-hunyuan,AutoCodeBenchmark,https://github.com/Tencent-Hunyuan/AutoCodeBenchmark,0
tencent-hunyuan,ArtifactsBenchmark,https://github.com/Tencent-Hunyuan/ArtifactsBenchmark,0
tencent-hunyuan,Hunyuan-7B,https://github.com/Tencent-Hunyuan/Hunyuan-7B,1
tencent-hunyuan,HunyuanVideo,https://github.com/Tencent-Hunyuan/HunyuanVideo,1
tencent-hunyuan,Hunyuan-4B,https://github.com/Tencent-Hunyuan/Hunyuan-4B,0
tencent-hunyuan,Hunyuan-1.8B,https://github.com/Tencent-Hunyuan/Hunyuan-1.8B,0
tencent-hunyuan,Hunyuan-0.5B,https://github.com/Tencent-Hunyuan/Hunyuan-0.5B,0
tencent-hunyuan,Hunyuan3D-2.1,https://github.com/Tencent-Hunyuan/Hunyuan3D-2.1,0
tencent-hunyuan,bpt,https://github.com/Tencent-Hunyuan/bpt,0
tencent-hunyuan,FlashVDM,https://github.com/Tencent-Hunyuan/FlashVDM,0
tencent-hunyuan,Hunyuan3D-1,https://github.com/Tencent-Hunyuan/Hunyuan3D-1,0
disney,terraform-aws-lambda-at-edge-cognito-authentication,https://github.com/disney/terraform-aws-lambda-at-edge-cognito-authentication,0
disneystreaming,aws-sdk-smithy-specs,https://github.com/disneystreaming/aws-sdk-smithy-specs,0
disneystreaming,smithy4s,https://github.com/disneystreaming/smithy4s,0
disneystreaming,smithy-translate,https://github.com/disneystreaming/smithy-translate,1
disneystreaming,alloy,https://github.com/disneystreaming/alloy,2
disneystreaming,automated-cloud-advisor,https://github.com/disneystreaming/automated-cloud-advisor,0
hpinc,AI-Blueprints,https://github.com/HPInc/AI-Blueprints,31
hpinc,jipp,https://github.com/HPInc/jipp,0
hpinc,tcli,https://github.com/HPInc/tcli,3
hpinc,printos-composer-api-samples,https://github.com/HPInc/printos-composer-api-samples,0
hpinc,krypton-scheduler,https://github.com/HPInc/krypton-scheduler,0
hpinc,krypton-dsts,https://github.com/HPInc/krypton-dsts,0
hpinc,rsc-cli,https://github.com/HPInc/rsc-cli,0
